iter	MultiClass
353	0.7885494438
354	0.7881598929
355	0.7874857456
356	0.7869319809
357	0.7867145363
358	0.7862186246
359	0.7857144969
360	0.7849139648
361	0.7844564811
362	0.7840496079
363	0.7835868806
364	0.7831681053
365	0.7826032507
366	0.7819909325
367	0.7814307941
368	0.7811274062
369	0.7806117326
370	0.7799976696
371	0.7794821596
372	0.7790000324
373	0.7788357254
374	0.778570462
375	0.7782686151
376	0.7776796709
377	0.7774369794
378	0.7769249082
379	0.7764639193
380	0.775855619
381	0.7755127959
382	0.7750133356
383	0.7749212973
384	0.7747078182
385	0.774336345
386	0.773881517
387	0.7734038426
388	0.7730412405
389	0.7727381709
390	0.7721663253
391	0.7716115705
392	0.7710866482
393	0.7705948521
394	0.7702470646
395	0.7699604926
396	0.7696922592
397	0.7691907
398	0.7688298011
399	0.7682201901
400	0.7677292691
401	0.7674467889
402	0.7666932196
403	0.7662714315
404	0.7660168149
405	0.7657646681
406	0.7653811236
407	0.7648015164
408	0.7643344417
409	0.7640848963
410	0.7636901082
411	0.7630181153
412	0.7623959842
413	0.7621112765
414	0.7616576237
415	0.7613016118
416	0.7610540875
417	0.7602237835
418	0.7596337045
419	0.7592058703
420	0.7587669234
421	0.7583217352
422	0.7579362018
423	0.7576468541
424	0.7569069518
425	0.7565554767
426	0.7559307916
427	0.7554219073
428	0.7550712686
429	0.7545380636
430	0.7540832245
431	0.7538289785
432	0.7535032432
433	0.7531760574
434	0.7528342243
435	0.7521726793
436	0.7516831881
437	0.7511734538
438	0.7507971303
439	0.7505266953
440	0.750188359
441	0.7495593377
442	0.749007479
443	0.7486446642
444	0.7480492966
445	0.7475254797
446	0.7469963544
447	0.7466791242
448	0.7461089828
449	0.7457210379
450	0.7453204973
451	0.7448414377
452	0.7446260739
453	0.7441623194
454	0.7439189562
455	0.7435526624
456	0.7430685068
457	0.7427350816
458	0.7425046848
459	0.7421578895
460	0.7415324286
461	0.7411085513
462	0.7407172496
463	0.740476915
464	0.7397966877
465	0.7393529496
466	0.739056367
467	0.7386488972
468	0.7382098856
469	0.7376128134
470	0.7369188007
471	0.7367990348
472	0.7366442475
473	0.7361216117
474	0.7353828454
475	0.7347839344
476	0.7343590276
477	0.7341662119
478	0.7337879811
479	0.7335108243
480	0.733096845
481	0.7324154827
482	0.7318468449
483	0.7315404384
484	0.7312363809
485	0.7307662596
486	0.7301049579
487	0.7294978946
488	0.7291735987
489	0.7286401608
490	0.7282092696
491	0.7278914731
492	0.7276329715
493	0.7272751953
494	0.7270277113
495	0.7265664998
496	0.7261333147
497	0.7257019328
498	0.7250322104
499	0.7245301728
500	0.724138802
501	0.7237356781
502	0.7234636555
503	0.7231656168
504	0.7228642196
505	0.7225434344
506	0.7220549453
507	0.7215427919
508	0.7210897486
509	0.7207088614
510	0.7204127401
511	0.7198846929
512	0.7195235036
513	0.7191184692
514	0.7186386376
515	0.7182095974
516	0.7178897343
517	0.7173508731
518	0.716995396
519	0.7165940263
520	0.7163041068
521	0.7158381333
522	0.7154696445
523	0.7149854918
524	0.7146737471
525	0.7144039748
526	0.7141433751
527	0.7138203235
528	0.7134960517
529	0.7132181947
530	0.7127227059
531	0.7125604778
532	0.7119900702
533	0.7114761659
534	0.7111419032
535	0.7104053843
536	0.710022506
537	0.7097088639
538	0.7091168782
539	0.7084210836
540	0.7083680907
541	0.7082375474
542	0.7076239054
543	0.7069705313
544	0.7066550964
545	0.7062931009
546	0.7058567642
547	0.7054332909
548	0.7051281878
549	0.7045730715
550	0.7040256505
551	0.7036209813
552	0.7034020858
553	0.7028576522
554	0.7025055857
555	0.7021329961
556	0.7017041559
557	0.7013899523
558	0.7011245075
559	0.7006788239
560	0.7004438401
561	0.7001139143
562	0.6995262628
563	0.6989896491
564	0.6985536821
565	0.6982733238
566	0.6979551238
567	0.6978078513
568	0.6974221898
569	0.6970834355
570	0.6965866395
571	0.6961358065
572	0.6956648076
573	0.6952830432
574	0.6947851528
575	0.6943780764
576	0.6940221016
577	0.693548901
578	0.6931534301
579	0.6926239689
580	0.6922456726
581	0.6916163271
582	0.6912550005
583	0.6909412445
584	0.6905292535
585	0.69015431
586	0.6900182958
587	0.6895979428
588	0.6893556128
589	0.6891293989
590	0.6888582599
591	0.6885285618
592	0.688353317
593	0.6879034403
594	0.6873531221
595	0.6868933123
596	0.6866465612
597	0.6861024317
598	0.6854482668
599	0.68506945
600	0.6846119767
601	0.6842779862
602	0.683917346
603	0.6835734263
604	0.6831398
605	0.6827709903
606	0.6825730657
607	0.6821216807
608	0.6816326242
609	0.6811826705
610	0.680900934
611	0.6805490801
612	0.6802902269
613	0.6798974532
614	0.679651416
615	0.6794243876
616	0.6789757233
617	0.678355919
618	0.6779174579
619	0.6774815266
620	0.676942378
621	0.6765198891
622	0.6761302049
623	0.6757553884
624	0.6750870541
625	0.6746634165
626	0.6744432111
627	0.6740200693
628	0.6736691445
629	0.6735308886
630	0.6732083706
631	0.6727322558
632	0.6724108692
633	0.672020901
634	0.6715902421
635	0.6713956066
636	0.671005219
637	0.6702983025
638	0.6699820737
639	0.669583687
640	0.6692648471
641	0.6689431684
642	0.6685283765
643	0.6680842544
644	0.6675843577
645	0.6671081906
646	0.6668784133
647	0.666550114
648	0.666089098
649	0.6657671624
650	0.6653219282
651	0.664892808
652	0.6644745708
653	0.6638149917
654	0.6634565886
655	0.6628227384
656	0.6624079351
657	0.662002185
658	0.6617328026
659	0.6615181203
660	0.6612951351
661	0.6610107212
662	0.660691566
663	0.6603697857
664	0.6599466829
665	0.6596704939
666	0.6593191916
667	0.6589465989
668	0.6586581002
669	0.6580125634
670	0.6579138595
671	0.6576992191
672	0.6571668947
673	0.6568663283
674	0.6565852661
675	0.6563681326
676	0.6561247455
677	0.6558157462
678	0.6556129175
679	0.6552015185
680	0.6548422919
681	0.6544742018
682	0.6539988909
683	0.6536466305
684	0.6532746775
685	0.6529398415
686	0.6527588957
687	0.6522858912
688	0.6518782986
689	0.6512912802
690	0.6509195335
691	0.6506142393
692	0.6504912936
693	0.6500922509
694	0.6496384442
695	0.6493486411
696	0.6490074206
697	0.6488333148
698	0.6484060726
699	0.6481781709
700	0.647971491
701	0.6474388817
702	0.6468717882
703	0.646563307
704	0.6463615495
705	0.6460975014
706	0.6458919758
707	0.6455758314
708	0.6453865318
709	0.6446288751
710	0.6442658442
711	0.643911465
712	0.6436018855
713	0.6432623173
714	0.642855465
715	0.6424113389
716	0.6421242816
717	0.6418389364
718	0.6415873784
719	0.6413858837
720	0.6411798633
721	0.640924951
722	0.640457208
723	0.6401782284
724	0.6398180646
725	0.6394649672
726	0.6390442985
727	0.6386999511
728	0.6383745428
729	0.6380446446
730	0.637766082
731	0.6373775657
732	0.636889258
733	0.6366488314
734	0.6364153069
735	0.6360087889
736	0.635728485
737	0.6352532582
738	0.634784959
739	0.6345413102
740	0.6341309472
741	0.6338291909
742	0.6335726512
743	0.6333673863
744	0.6329144583
745	0.6326111647
746	0.632425962
747	0.6320026096
748	0.631521644
749	0.6312166095
750	0.6309311626
751	0.6304262014
752	0.6298050845
753	0.6294182614
754	0.6291163447
755	0.6288082071
756	0.6283487601
757	0.6278591305
758	0.6274076771
759	0.6273587749
760	0.6270935155
761	0.6268783318
762	0.6266334243
763	0.6264351436
764	0.6261749257
765	0.6259581421
766	0.6257313842
767	0.6254898298
768	0.6250464076
769	0.6245707214
770	0.6242152668
771	0.6240560312
772	0.6237027576
773	0.6230783096
774	0.622731903
775	0.6221936155
776	0.6219210536
777	0.621506309
778	0.6212948087
779	0.6209921793
780	0.6204101425
781	0.6200564624
782	0.6197874301
783	0.6194415188
784	0.6191220133
785	0.6189217417
786	0.6187451574
787	0.6182700681
788	0.6178655117
789	0.617559909
790	0.6171485128
791	0.6168986296
792	0.6166068441
793	0.6162351837
794	0.6159327712
795	0.6156591879
796	0.6153826798
797	0.614994424
798	0.6147166343
799	0.6145094788
800	0.6140112078
801	0.613685314
802	0.6133935379
803	0.6130776446
804	0.6128544352
805	0.6126659278
806	0.612222425
807	0.6118601441
808	0.6115883302
809	0.6113495124
810	0.6111206476
811	0.6107553658
812	0.6102423944
813	0.6099053092
814	0.6093888541
815	0.6090009016
816	0.6088146055
817	0.6084890579
818	0.6080945524
819	0.6075871642
820	0.6073039143
821	0.6068534588
822	0.6064867553
823	0.6061769131
824	0.6059745426
825	0.6056596095
826	0.6053874333
827	0.6050011107
828	0.6045838457
829	0.6044533251
830	0.6041632442
831	0.604039679
832	0.6037667998
833	0.6031827999
834	0.602925735
835	0.6024610658
836	0.6022156658
837	0.6018722357
838	0.6017471835
839	0.6012632073
840	0.6007450605
841	0.6003140457
842	0.6001286892
843	0.5997571546
844	0.599382926
845	0.599034653
846	0.5985995228
847	0.5980647303
848	0.5976793097
849	0.5972791367
850	0.5969497381
851	0.5967122746
852	0.5966079415
853	0.596077777
854	0.5956604366
855	0.5952413768
856	0.5950377053
857	0.5946633593
858	0.5943014493
859	0.5938672579
860	0.5934457319
861	0.593162246
862	0.5928869254
863	0.5925638138
864	0.5921550015
865	0.5919756144
866	0.5916736043
867	0.5914335716
868	0.5909207541
869	0.5904804135
870	0.5901612984
871	0.5897251914
872	0.5894946045
873	0.5890185223
874	0.5887791225
875	0.5885331442
876	0.5881953654
877	0.5880834259
878	0.5877688469
879	0.5871065978
880	0.5868276796
881	0.5863690809
882	0.5860456656
883	0.5856154082
884	0.5854489411
885	0.5849202528
886	0.5846860696
887	0.5844602862
888	0.5839897402
889	0.5835537179
890	0.5833330843
891	0.5830559804
892	0.582854947
893	0.5825669532
894	0.5821959962
895	0.5819813495
896	0.5818260755
897	0.5813583933
898	0.5809785022
899	0.5807227842
900	0.5805768365
901	0.5803903117
902	0.5799831806
903	0.5795492588
904	0.5792449722
905	0.5790207009
906	0.5789188116
907	0.5787245958
908	0.5784687751
909	0.5780404852
910	0.5778167295
911	0.5773817693
912	0.5767399911
913	0.5763119538
914	0.5758744815
915	0.5753836128
916	0.5751241264
917	0.5748552458
918	0.5745360893
919	0.5743102976
920	0.5741078248
921	0.5739041301
922	0.5735514052
923	0.5730887401
924	0.5729076202
925	0.5728368298
926	0.5724893922
927	0.5721556568
928	0.5717333425
929	0.5715026617
930	0.571347551
931	0.5711607676
932	0.57072567
933	0.5703378732
934	0.5700403521
935	0.569621649
936	0.5692585774
937	0.5688982251
938	0.568439654
939	0.5679515909
940	0.5676448918
941	0.5673683405
942	0.5671412545
943	0.5667944799
944	0.5664244324
945	0.5662208335
946	0.5657997373
947	0.565588972
948	0.5652804861
949	0.5651411367
950	0.5648475537
951	0.5645265507
952	0.5643368498
953	0.5639667455
954	0.5637453426
955	0.5635481719
956	0.563364709
957	0.5629529639
958	0.5626756739
959	0.5625254193
960	0.5621558919
961	0.561892466
962	0.5616047267
963	0.5612905514
964	0.5610345997
965	0.5607129603
966	0.560420394
967	0.5600743954
968	0.5596634009
969	0.5593056113
970	0.5589793857
971	0.558816102
972	0.5584082645
973	0.5579841821
974	0.5576595009
975	0.557264435
976	0.5569391807
977	0.5565838439
978	0.556240692
979	0.555960075
980	0.5558105153
981	0.5555250128
982	0.5552869815
983	0.554870037
984	0.5544716232
985	0.5540310997
986	0.5537257133
987	0.5534928444
988	0.553024135
989	0.5526413962
990	0.5522418934
991	0.5520215418
992	0.5517545996
993	0.5514490305
994	0.5513301228
995	0.5511978525
996	0.5510102255
997	0.5507416986
998	0.5505964465
999	0.5502108906
